"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"730","Department for Work and Pensions","I am not supported to implement RAP because DWP does not support the relevant software in conjunction with the relevant data. It is not important to do so because there is no immediate demand to reproduce the analysis my team produces.","Continuous integration, dependency management and reproducible workflow software is not currently available in DWP.","Mandatory coding practices and standards, appropriate to the size/complexity of each project, supported by seniors, against which code is QA'd.",NA,"Analytical coding could be hugely improved by the adoption of software development practices for code management, but it will require a substantial culture shift, at least amongst DWP analysts, to realise these benefits."
"732","Scottish Government (excl. agencies)",NA,NA,"Commitment from team leaders to innovate (by using RAP), and willingness to give extra time to implement these","Using R and RAP and any innovation really is pretty much a grassroots movement in my organisation where SEO staff need to carve out time to make this happen. Time and support isn't given, and RAP isn't requested or even encouraged by leaders. Is this the same across UK government departments?",NA
"734","Office for National Statistics",NA,NA,"No idea","No idea","Hope my vague answers were helpful"
"735","Office for National Statistics",NA,NA,"Make explicit what RAP means in practice and provide resource/training starting at really basic level upward.
If it's necessary, mandate the use of RAP and cascade through SCS - although it's not clear how this would be monitored and managed.",NA,NA
"737","Ministry of Justice (excl. agencies)",NA,NA,"Training resources beyond basics",NA,NA
"739","Department for Transport (excl. agencies)","Not my role  wider team only.",NA,NA,NA,"Q10 was odd to answer - I have the required level of skill to do my job as that required level is zero."
"742","Scottish Government (excl. agencies)",NA,NA,NA,"Willingness to learn. I don't know how to code, but I'd very much like to learn.",NA
"743","National Records of Scotland",NA,NA,"seminars detailing what counts as a RAP and what doesn't",NA,NA
"744","National Records of Scotland",NA,NA,NA,NA,"In question 10 it was frustrating to have to click to get a drop down list of answers and then click on the answer, especially as this has to be done so many times. Radio buttons would have been better - half the number of clicks."
"745","Office for National Statistics","I have hear of Reproducible Analytical Pipelines but don't know anything about them",NA,"A clear set of courses that staff can progress through",NA,NA
"746","Scottish Government (excl. agencies)",NA,NA,"Additional staffing resources ",NA,NA
"747","Other",NA,NA,"Continuation of existing commitments from management and staff.","Consideration of geographical packages.",NA
"748","National Records of Scotland",NA,NA,"dedicated CPD time to learning about RAP specifically for my department and to develop coding skills","admin data",NA
"749","Office for National Statistics","I have awareness of RAP but have no experience or training of it. ",NA,"Training sessions on it, including why use it",NA,NA
